ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
4000
ITEM: BOX BOUNDS pp pp pp
0 50
0 50
0 50
ITEM: ATOMS id mol type x y z 
234 2 1 31.581313551087845 20.983848612578438 24.244704999913523
235 2 1 30.867313551087847 20.912248612578438 25.430144999913523
236 2 1 31.060673551087845 21.88576861257844 26.397104999913523
237 2 1 31.774753551087844 21.036968612578438 27.227424999913524
238 2 1 32.67539355108784 20.768968612578437 26.209024999913524
239 2 1 32.30931355108785 21.335688612578437 24.998784999913525
240 2 1 32.05755355108785 20.400328612578438 24.007984999913525
241 2 1 32.60051355108785 21.434488612578438 23.262384999913525
242 2 1 32.67691355108785 20.275608612578438 22.506624999913527
243 2 1 31.87475355108785 20.92984861257844 21.585584999913525
244 2 1 31.45355355108785 21.11600861257844 22.892464999913525
245 2 1 32.33315355108785 20.27096861257844 23.549984999913526
246 2 1 33.467393551087845 19.940488612578438 24.274064999913527
247 2 1 32.625793551087845 20.63152861257844 25.130864999913527
248 2 1 32.64387355108784 20.95704861257844 23.784144999913526
249 2 1 31.603473551087845 20.26880861257844 24.387504999913524
250 2 1 32.94163355108785 19.95376861257844 24.214304999913523
251 2 1 33.86723355108785 20.53096861257844 25.06870499991352
252 2 1 34.25131355108785 21.65344861257844 25.784704999913522
253 2 1 34.13899355108785 21.44800861257844 27.150464999913524
254 2 1 33.80419355108785 22.24896861257844 26.070464999913526
255 2 1 34.91307355108785 21.67688861257844 26.672944999913526
256 2 1 36.22627355108785 21.375528612578442 26.349184999913525
257 2 1 37.30243355108785 21.936488612578444 25.680384999913525
258 2 1 36.57891355108785 21.254088612578443 24.715584999913524
259 2 1 37.52499355108785 21.45296861257844 23.722864999913526
260 2 1 38.70347355108785 21.561128612578443 23.002144999913526
261 2 1 38.08883355108785 22.22848861257844 24.049504999913527
262 2 1 39.003953551087854 22.10136861257844 25.082224999913528
263 2 1 38.50819355108786 21.37408861257844 24.01198499991353
264 2 1 39.82027355108786 21.25584861257844 24.44166499991353
265 2 1 39.756913551087855 22.50512861257844 25.03774499991353
266 2 1 40.23811355108786 23.01552861257844 26.23270499991353
267 2 1 40.73867355108786 21.96392861257844 25.48206499991353
268 2 1 41.612593551087855 21.168808612578438 26.20598499991353
269 2 1 42.12003355108786 22.338968612578437 25.66430499991353
270 2 1 42.85027355108786 21.287848612578436 26.19526499991353
271 2 1 42.03907355108786 22.410728612578435 26.15910499991353
272 2 1 43.01579355108786 21.689688612578436 25.49110499991353
273 2 1 43.92571355108786 22.189688612578436 24.57350499991353
274 2 1 44.40579355108786 21.152168612578436 25.35646499991353
275 2 1 44.96491355108786 21.265208612578437 26.61926499991353
276 2 1 43.70051355108786 20.982648612578437 27.11062499991353
277 2 1 43.412113551087856 19.663608612578436 26.79942499991353
278 2 1 42.25867355108785 19.360728612578434 26.09390499991353
279 2 1 41.601553551087854 19.481688612578434 27.307824999913528
280 2 1 41.806433551087856 20.054968612578435 26.063104999913527
281 2 1 41.63635355108786 19.783928612578435 27.411264999913527
282 2 1 41.99955355108786 18.498088612578435 27.778144999913525
283 2 1 42.84603355108786 18.850488612578435 26.739264999913527
284 2 1 41.812113551087855 18.767768612578436 25.820464999913526
285 2 1 42.052913551087855 17.661688612578438 26.619664999913525
286 2 1 41.82491355108785 16.649848612578438 25.700864999913524
287 2 1 42.81483355108785 17.245128612578437 24.935584999913523
288 2 1 43.207953551087854 15.978008612578437 25.335264999913523
289 2 1 44.07435355108785 15.860648612578437 26.410224999913524
290 2 1 42.72283355108785 15.962488612578436 26.698144999913524
291 2 1 43.43123355108785 15.201608612578436 25.782144999913523
292 2 1 42.89659355108785 16.387288612578438 26.259984999913524
293 2 1 42.158433551087846 17.23120861257844 27.074224999913525
294 2 1 41.530993551087846 17.489768612578438 28.282304999913524
295 2 1 41.702913551087846 16.557448612578437 27.271664999913526
296 2 1 40.821393551087844 15.509128612578436 27.481584999913526
297 2 1 40.028993551087844 15.652088612578437 28.609264999913528
298 2 1 39.66267355108784 15.586648612578436 29.943904999913528
299 2 1 38.56187355108784 15.748968612578436 29.11806499991353
300 2 1 39.87155355108784 15.582088612578435 28.69726499991353
301 2 1 41.05739355108784 15.294168612578435 28.04070499991353
302 2 1 42.09451355108784 15.784408612578435 28.81782499991353
303 2 1 42.573073551087845 16.033288612578435 27.54142499991353
304 2 1 41.28171355108785 16.535048612578436 27.56638499991353
305 2 1 41.794193551087844 16.388168612578436 26.287344999913532
